" ","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Felony","24,644","25,221","25,664","24,578","17,249","17,999","18,452","17,804","16,602","15,867"
"Violent Offenses","5,642","5,475","5,080","5,307","5,907","6,019","6,237","6,097","5,732","5,629"
"Property Offenses","6,695","6,921","6,394","5,642","4,904","5,191","5,490","4,877","4,574","4,498"
"Drug Offenses","8,186","8,931","10,120","9,458","2,179","2,115","1,914","1,855","1,767","1,853"
"Sex Offenses","546","482","487","398","409","343","395","393","416","282"
"Other Offenses","3,575","3,412","3,583","3,773","3,850","4,331","4,416","4,582","4,113","3,605"
"Misdemeanor","57,909","55,091","49,556","49,811","61,398","61,926","63,387","66,910","65,898","52,272"
"Status Offenses","1,706","1,254","1,125","1,388","820","745","735","537","545","652"
